source,source_desc,source_id,target,target_desc,target_id,weight
GeneSym,UniprotACC,GeneID,UniprotACC,Organism,TaxID,weight
PIK3R2,O00459,5296,P03496,Influenza A virus (strain A/Puerto Rico/8/34 H1N1),211044,1
PVRL1,Q15223,5818,A1Z0Q5,Human herpesvirus 1,10298,1
CAV1,Q03135,857,P03301,Poliovirus type 1 (strain Sabin),12082,1
PVR,P15151,5817,P03301,Poliovirus type 1 (strain Sabin),12082,1
ITCH,Q96J02,83737,P13285,Epstein-Barr virus (strain B95-8),10377,1
LGALS3BP,Q08380,3959,P13285,Epstein-Barr virus (strain B95-8),10377,1
MAPK1,P28482,5594,Q69559,Human herpesvirus 6,10368,1
ATP6V0C,P27449,527,P06928,Bovine papillomavirus type 1,10559,1
PDGFRB,P09619,5159,P06928,Bovine papillomavirus type 1,10559,1
CXADR,P78310,1525,P36711,Human adenovirus 12,28282,1
CAPRIN1,Q14444,4076,P21605,Vaccinia virus (strain Western Reserve / WR),10254,1
UBE2L6,O14933,9246,P21605,Vaccinia virus (strain Western Reserve / WR),10254,1
G3BP1,Q13283,10146,P21605,Vaccinia virus (strain Western Reserve / WR),10254,1
RXRA,P19793,6256,Q4AE16,Hepatitis B virus,10407,1
SKP2,Q13309,6502,Q4AE16,Hepatitis B virus,10407,1
IFIH1,Q9BYX4,64135,P69284,Sendai virus (strain Fushimi),11195,1
IRAK2,O43187,3656,P68467,Vaccinia virus (strain Copenhagen),10249,1
TRAF6,Q9Y4K3,7189,P68467,Vaccinia virus (strain Copenhagen),10249,1
DDX3X,O00571,1654,P68467,Vaccinia virus (strain Copenhagen),10249,1
TRAF6,Q9Y4K3,7189,Q8V2D1,Human cytomegalovirus,10359,1
CCDC14,Q49A88,64770,Q777C3,Epstein-Barr virus (strain GD1),10376,1
CTSC,P53634,1075,Q777C3,Epstein-Barr virus (strain GD1),10376,1
MAPK7,Q13164,5598,Q777C3,Epstein-Barr virus (strain GD1),10376,1
RPL4,P36578,6124,P12977,Epstein-Barr virus (strain B95-8),10377,1
NR4A1,P22736,3164,P12977,Epstein-Barr virus (strain B95-8),10377,1
CSNK2B,P67870,1460,P26662,Hepatitis C virus genotype 1b (isolate Japanese),11116,1
PPARG,P37231,5468,P26662,Hepatitis C virus genotype 1b (isolate Japanese),11116,1
HIST1H2AI,P0C0S8,8329,Q9DUM3,Human herpesvirus 8,37296,1
STAT3,P40763,6774,Q9DUM3,Human herpesvirus 8,37296,1
HAX1,O00165,10456,O12160,Human immunodeficiency virus 1,11676,1
HNRNPK,P61978,3190,Q8V1E7,African swine fever virus,10497,1
CDK1,P06493,983,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
KHDRBS1,Q07666,10657,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SF3B2,Q13435,10992,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
MAGED1,Q9Y5V3,9500,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPK,P61978,3190,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PSMA3,P25788,5684,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RCN2,Q14257,5955,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
UBC,P0CG48,7316,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPA2B1,P22626,3181,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HSPA8,P11142,3312,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SET,Q01105,6418,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
AKAP8L,Q9ULX6,26993,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
ALDH1B1,P30837,219,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPD,Q14103,3184,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPM,P52272,4670,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPR,O43390,10236,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPU,Q00839,3192,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
GCN1L1,Q92616,10985,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HSPB1,P04792,3315,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HSPD1,P10809,3329,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
IARS,P41252,3376,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
GBAS,O75323,2631,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HSPA1A,P08107,3303,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
XPOT,O43592,11260,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
WDR77,Q9BQA1,79084,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
FLNC,Q14315,2318,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
BAG2,O95816,9532,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
UBR5,O95071,51366,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
TUBB,P07437,203068,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
TUBA1B,P68363,10376,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
TNNT3,P45378,7140,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
CAD,P27708,790,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
TIMM50,Q3ZCQ8,92609,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
CAPZA1,P52907,829,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
GLUD1,P00367,2746,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SSBP1,Q04837,6742,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SNRPD2,P62316,6633,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SNRPB2,P08579,6629,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SNRPA,P09012,6626,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SNRNP200,O75643,23020,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPCL1,O60812,343069,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
LDHB,P07195,3945,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SLC25A6,P12236,293,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HIST1H1D,P16402,3007,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SFPQ,P23246,6421,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPAB,Q99729,3182,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SERBP1,Q8NC51,26135,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
LRPPRC,P42704,10128,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SEC16A,O15027,9919,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
SEC13,P55735,6396,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RUVBL2,Q9Y230,10856,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RSL1D1,O76021,26156,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS9,P46781,6203,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS8,P62241,6202,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HNRNPA0,Q13151,10949,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS6,P62753,6194,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS3A,P61247,6189,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS23,P62266,6228,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS2,P15880,6187,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS18,P62269,6222,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS17,P08708,6218,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS16,P62249,6217,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPS13,P62277,6207,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL9,P32969,6133,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL8,P62917,6132,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL7A,P62424,6130,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL7,P18124,6129,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL31,P62899,6160,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HIST1H2BD,P62807,3017,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL23,P62829,9349,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL22,P35268,6146,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL18,Q07020,6141,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL17-C18orf32,P18621,100526842,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL13,P26373,6137,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL12,P30050,6136,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RPL10,P27635,6134,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
MLF2,Q15773,8079,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
EPRS,P07814,2058,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RFC3,P40938,5983,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
GRPEL1,Q9HAV7,80273,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
CLPX,O76031,10845,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
RCN1,Q15293,5954,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
CLTC,Q00610,1213,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
CSE1L,P55060,1434,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
EIF3B,P55884,8662,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
QARS,P47897,5859,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PTBP1,P26599,5725,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PSMD2,Q13200,5708,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
HSPA5,P11021,3309,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PSMC2,P35998,5701,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PSMB6,P28072,5694,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PRPF8,Q6P2Q9,10594,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
DARS,P14868,1615,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
ILF3,Q12906,3609,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
NCL,P19338,4691,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
DDX17,Q92841,10521,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
DDX5,P17844,1655,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
DHX9,Q08211,1660,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PCCB,P05166,5096,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PCCA,P05165,5095,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
PCBP2,Q15366,5094,Q8AZK7,Epstein-Barr virus (strain GD1),10376,1
